id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.8763793876523245e-05 1.9573922482216073e-05 3.084703639025261e-05 1.7421054242300753e-05 3.613119681876068e-05 2.215264556643456e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 22.0 5.0 37.0 12.0 26.0 30.0 | 253 16 498 13 454 4 | 998 996 996 997 996 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.4955501042165583e-05 1.5197810437444434e-05 2.266144595064972e-05 1.8552505876069815e-05 2.65866835339722e-05 1.818707631684204e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 20.0 5.0 16.0 19.0 14.0 18.0 | 0 3 373 2 227 3 | 998 997 997 997 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.3722184914753673e-05 7.622190537744915e-06 7.590529310431428e-06 1.5510549245264645e-05 1.9036100633147572e-05 2.4506258212404202e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 19.0 2.0 2.0 14.0 10.0 7.0 | 4 3 0 7 1 1 | 998 998 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.9119375152987377e-05 1.0259516160294835e-05 1.1776643540107954e-05 1.8038341490794148e-05 1.9246836319035165e-05 2.4277649634405313e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 33.0 2.0 14.0 14.0 13.0 10.0 | 178 9 474 487 359 1 | 997 997 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 4.255293355103435e-05 1.2827457735601302e-05 1.448830388902422e-05 2.3675585767651625e-05 9.512657246583416e-06 1.750171925597077e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 44.0 2.0 15.0 29.0 7.0 17.0 | 8 191 283 2 474 0 | 996 996 996 996 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.611319612663723e-05 1.0469774442267675e-05 1.1552475913045286e-05 2.06891929817014e-05 1.0305049543717264e-05 2.064078356132984e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 23.0 2.0 2.0 32.0 2.0 19.0 | 7 25 0 8 0 0 | 997 997 997 997 998 996 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.8661151680192108e-05 5.797341862783944e-06 6.3774267815358514e-06 1.3250480668936533e-05 1.1423009402409089e-05 1.6138638335708534e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 13.0 2.0 2.0 13.0 3.0 12.0 | 34 25 0 125 0 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.9458005394209604e-05 8.141369035039974e-06 7.590048296990706e-06 1.5407044383859838e-05 9.05440459372922e-06 1.7568871035115185e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 13.0 7.0 4.0 8.0 4.0 19.0 | 484 11 118 499 194 0 | 998 998 997 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.1769997726818703e-05 8.790669088686668e-06 8.336974677775104e-06 1.7046347099573112e-05 7.94645892632149e-06 1.7211708232466964e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 15.0 7.0 8.0 14.0 2.0 12.0 | 344 11 231 344 328 0 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.9689452377221658e-05 6.142260848601238e-06 7.989440517342059e-06 1.4289480999240783e-05 9.135278700133999e-06 1.1447987988244807e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 18.0 2.0 12.0 12.0 6.0 5.0 | 30 481 498 186 332 0 | 998 998 995 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.227732145504193e-05 1.167751330218192e-05 3.5450963631665824e-05 2.441425633942563e-05 2.2911832356330858e-05 1.735660452052393e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 64.0 18.0 62.0 54.0 49.0 34.0 | 271 380 458 241 449 368 | 997 997 934 997 948 985 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.242680870829868e-05 1.207820738853797e-05 3.596358702087133e-05 2.4753726417607146e-05 2.5718554057398844e-05 2.3597046809249454e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 72.0 19.0 64.0 54.0 60.0 44.0 | 427 459 492 404 431 352 | 998 998 998 998 997 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.6462629666477422e-05 6.440510343074766e-06 9.462423546074767e-06 1.2685725400425928e-05 1.899985910636726e-05 2.595909685981361e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 20.0 2.0 9.0 4.0 26.0 20.0 | 9 2 119 404 2 0 | 997 997 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.3565441969588702e-05 7.089599457135121e-06 5.0543208002203015e-06 1.0659875115360552e-05 1.4832716562587721e-05 2.7044297838231516e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 17.0 2.0 2.0 2.0 13.0 36.0 | 22 0 310 18 0 0 | 998 998 995 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.4256185504953843e-05 8.714737421906622e-06 5.575554379224163e-06 1.1823371540368567e-05 8.993461558177754e-06 2.4977159151420017e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 13.0 2.0 2.0 2.0 2.0 42.0 | 226 0 385 457 180 0 | 997 997 998 997 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.8038693066206377e-05 7.013006634095892e-06 6.688447924546475e-06 1.4690317159496587e-05 6.9790024244448786e-06 1.772136500319395e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 17.0 2.0 2.0 2.0 2.0 17.0 | 0 1 0 1 286 0 | 998 998 995 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.82704957501101e-05 4.561824752718755e-06 9.719413911568068e-06 1.3864000016355054e-05 8.761397543273447e-06 1.2750762972099953e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 20.0 2.0 6.0 2.0 5.0 3.0 | 0 293 0 1 341 1 | 998 998 997 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.750041515084314e-05 4.988736286191125e-06 9.705099012809586e-06 1.0963360730707129e-05 1.1943853175302399e-05 1.2852394825724498e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 11.0 2.0 6.0 2.0 5.0 4.0 | 0 11 225 2 89 4 | 996 998 998 996 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.686526274163583e-05 4.623833067109923e-06 5.852374531357634e-06 9.799482155142352e-06 1.0169260491658795e-05 1.0512157186460513e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 5.0 2.0 2.0 2.0 2.0 2.0 | 0 0 240 0 1 7 | 388 968 998 984 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 1.3508934460174999e-05 4.761596458892288e-06 5.19922303855122e-06 1.0239367309289636e-05 1.0613723727323174e-05 1.0863032253239058e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 3.0 2.0 2.0 2.0 4.0 6.0 | 40 248 317 299 286 485 | 998 998 998 998 998 997 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.1929907677418215e-05 7.824595445012234e-06 6.332083743139275e-06 1.6631875730927028e-05 1.3157971147355322e-05 1.5047872623823307e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 12.0 2.0 2.0 12.0 6.0 13.0 | 26 290 497 393 355 62 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 2.9569184427365192e-05 1.0634855913789917e-05 8.628836893012089e-06 2.0145451196695956e-05 1.7272571101272884e-05 1.7768232912072573e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 33.0 2.0 2.0 22.0 10.0 13.0 | 0 0 4 0 16 447 | 998 998 998 998 997 998 
id | rms | ApprEnt | LZComp | mpf | sef
1 | 3.6253423552698394e-05 1.5929607750524503e-05 2.545619094170889e-05 3.550426458126377e-05 5.590753306563004e-05 6.7592102173072e-05 | 0.0 0.0 0.0 0.0 0.0 0.0 | 47.0 8.0 11.0 18.0 18.0 9.0 | 499 454 1 2 2 7 | 998 998 998 998 998 998 
id | rms | ApprEnt | LZComp | mpf | sef
